LEVEL_3_CO,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,RANGE_AREA,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,ENDEMIC_SEQ,GEN_DUP
KRY,1707,0.776615104640582,2198,32.5009099181074,26,14898753.1766924,94,0.0427661510464058,0.587352138307552,0.148936170212766,0.0700352593266606
RUS,1716,0.802244039270687,2139,35.3730715287518,28,18436068.9096587,28,0.0130902290790089,0.294062646096307,0.0714285714285714,0.0745200736325386
UKR,2416,0.755,3200,30.1271875,23,14278245.9656781,120,0.0375,0.244375,0.125,0.0650244140625
LBY,1440,0.794263651406509,1813,26.5438499724214,20,13769483.4962714,91,0.0501930501930502,0.138996138996139,0.0769230769230769,0.0637927468284611
PAL,2081,0.758105646630237,2745,23.4349726775956,15,11525675.6534791,120,0.0437158469945355,0.729326047358834,0.241666666666667,0.056153233151184
OMA,943,0.730441518202943,1291,27.0836560805577,17,16054480.3786677,82,0.0635166537567777,0.515104570100697,0.329268292682927,0.054076297443842
WSA,317,0.814910025706941,389,26.9254498714653,20,16234871.2448843,3,0.0077120822622108,0.0539845758354756,0.333333333333333,0.0604313946015424
FLA,2511,0.841770030170969,2983,24.3312101910828,17,6811867.10141804,229,0.0767683540060342,0.711699631243714,0.602620087336245,0.0672508799865907
NFL,825,0.902625820568928,914,44.3916849015317,36,19456204.1866521,9,0.00984682713347921,0.62800875273523,0.444444444444444,0.0882709928884026
KTY,1814,0.904287138584247,2006,33.4431704885344,28,8366510.59055832,3,0.00149551345962114,0.405284147557328,0,0.088835057328016
LOU,1942,0.866190900981267,2242,29.0160570918822,22,7763201.61165477,6,0.00267618198037467,0.705619982158787,0,0.0742570807314897
MRY,1741,0.911995809324254,1909,36.7867993713986,30,9599191.60946045,0,0,0.63331587218439,NA,0.0892196503404924
MSI,1939,0.880563124432334,2202,28.8964577656676,22,7269036.83864214,0,0,0.659854677565849,NA,0.0763474965940054
INI,1742,0.914435695538058,1905,38.4278215223097,32,10723199.7330079,6,0.0031496062992126,0.606824146981627,0,0.0920931758530184
OHI,1726,0.920042643923241,1876,39.2638592750533,32,11064698.6297015,3,0.00159914712153518,0.602345415778252,0,0.0942497334754797
DEL,1320,0.916030534351145,1441,39.3414295628036,33,10074332.1486329,0,0,0.31089521165857,NA,0.0928988115891742
WDC,942,0.92807881773399,1015,42.1635467980296,35,10658004.7344532,0,0,0.761576354679803,NA,0.100869766009852
NFK,205,0.762081784386617,269,20.1040892193309,4,8390869.26509294,96,0.356877323420074,0.732342007434944,0.572916666666667,0.0558492100371747
OGA,232,0.852941176470588,272,32.4485294117647,12.5,13213284.7254412,67,0.246323529411765,0.294117647058824,0.686567164179104,0.0717486213235294
